"","id","genero","educ","catlab","salario","salini","tiempemp","expprev","estudios","edad"
"1",1,1,15,3,57000,27000,98,144,3,38
"2",2,1,16,1,40200,18750,98,36,3,32
"3",3,2,12,1,21450,12000,98,381,2,61
"4",4,2,8,1,21900,13200,98,190,1,43
"5",5,1,15,1,45000,21000,98,138,3,35
"6",6,1,15,1,32100,13500,98,67,3,32
"7",7,1,15,1,36000,18750,98,114,3,34
"8",8,2,12,1,21900,9750,98,0,2,24
"9",9,2,15,1,27900,12750,98,115,3,44
"10",10,2,12,1,24000,13500,98,244,2,44
"11",11,2,16,1,30300,16500,98,143,3,40
"12",12,1,8,1,28350,12000,98,26,1,24
"13",13,1,15,1,27750,14250,98,34,3,30
"14",14,2,15,1,35100,16800,98,137,3,41
"15",15,1,12,1,27300,13500,97,66,2,27
"16",16,1,12,1,40800,15000,97,24,2,25
"17",17,1,15,1,46000,14250,97,48,3,28
"18",18,1,16,3,103750,27510,97,70,3,34
"19",19,1,12,1,42300,14250,97,103,2,28
"20",20,2,12,1,26250,11550,97,48,2,50
"21",21,2,16,1,38850,15000,97,17,3,27
"22",22,1,12,1,21750,12750,97,315,2,49
"23",23,2,15,1,24000,11100,97,75,3,25
"24",24,2,12,1,16950,9000,97,124,2,57
"25",25,2,15,1,21150,9000,97,171,3,48
"26",26,1,15,1,31050,12600,96,14,3,23
"27",27,1,19,3,60375,27480,96,96,4,36
"28",28,1,15,1,32550,14250,96,43,3,27
"29",29,1,19,3,135000,79980,96,199,4,46
"30",30,1,15,1,31200,14250,96,54,3,28
"31",31,1,12,1,36150,14250,96,83,2,26
"32",32,1,19,3,110625,45000,96,120,4,36
"33",33,1,15,1,42000,15000,96,68,3,29
"34",34,1,19,3,92000,39990,96,175,4,41
"35",35,1,17,3,81250,30000,96,18,4,29
"36",36,2,8,1,31350,11250,96,52,1,27
"37",37,1,12,1,29100,13500,96,113,2,35
"38",38,1,15,1,31350,15000,96,49,3,28
"39",39,1,16,1,36000,15000,96,46,3,30
"40",40,2,15,1,19200,9000,96,23,3,57
"41",41,2,12,1,23550,11550,96,52,2,29
"42",42,1,15,1,35100,16500,95,90,3,29
"43",43,1,12,1,23250,14250,95,46,2,26
"44",44,1,8,1,29250,14250,95,50,1,27
"45",45,1,12,2,30750,13500,95,307,2,52
"46",46,2,15,1,22350,12750,95,165,3,49
"47",47,2,12,1,30000,16500,95,228,2,52
"48",48,1,12,2,30750,14100,94,240,2,43
"49",49,1,15,1,34800,16500,94,93,3,31
"50",50,1,16,3,60000,23730,94,59,3,30
"51",51,1,12,1,35550,15000,94,48,2,28
"52",52,1,15,1,45150,15000,94,40,3,26
"53",53,1,18,3,73750,26250,94,56,4,36
"54",54,1,12,1,25050,13500,94,444,2,59
"55",55,1,12,1,27000,15000,94,120,2,30
"56",56,1,15,1,26850,13500,94,5,3,28
"57",57,1,15,1,33900,15750,94,78,3,27
"58",58,2,15,1,26400,13500,94,3,3,25
"59",59,1,15,1,28050,14250,94,36,3,29
"60",60,1,12,1,30900,15000,94,102,2,31
"61",61,1,8,1,22500,9750,94,36,1,26
"62",62,1,16,3,48000,21750,93,22,3,28
"63",63,1,17,3,55000,26250,93,32,4,29
"64",64,1,16,3,53125,21000,93,48,3,26
"65",65,1,8,1,21900,14550,93,41,1,26
"66",66,1,19,3,78125,30000,93,7,4,28
"67",67,1,16,3,46000,21240,93,35,3,26
"68",68,1,16,3,45250,21480,93,36,3,27
"69",69,1,16,3,56550,25000,93,34,3,30
"70",70,1,15,1,41100,20250,93,27,3,28
"71",71,1,17,3,82500,34980,93,207,4,42
"72",72,2,16,1,54000,18000,93,11,3,26
"73",73,2,12,1,26400,10500,93,0,2,22
"74",74,2,15,1,33900,19500,93,192,3,57
"75",75,2,15,1,24150,11550,93,0,3,25
"76",76,2,15,1,29250,11550,93,11,3,22
"77",77,2,12,1,27600,11400,93,6,2,21
"78",78,2,12,1,22950,10500,93,10,2,22
"79",79,2,16,1,34800,14550,93,8,3,28
"80",80,2,16,1,51000,18000,93,22,3,29
"81",81,2,12,1,24300,10950,93,5,2,22
"82",82,2,12,1,24750,14250,93,193,2,43
"83",83,2,12,1,22950,11250,93,0,2,22
"84",84,2,8,1,25050,10950,93,8,1,23
"85",85,1,15,1,25950,17100,92,42,3,28
"86",86,1,15,1,31650,15750,92,64,3,29
"87",87,1,12,1,24150,14100,92,130,2,30
"88",88,1,19,3,72500,28740,92,10,4,28
"89",89,1,19,3,68750,27480,92,8,4,29
"90",90,2,8,1,16200,9750,92,0,1,52
"91",91,2,12,1,20100,11250,92,24,2,22
"92",92,2,8,1,24000,10950,92,6,1,22
"93",93,2,12,1,25950,10950,92,0,2,22
"94",94,2,12,1,24600,10050,92,44,2,40
"95",95,2,12,1,28500,10500,92,6,2,22
"96",96,1,8,2,30750,15000,92,432,1,56
"97",97,1,17,1,40200,19500,92,168,4,37
"98",98,1,8,2,30000,15000,92,144,1,34
"99",99,2,12,1,22050,10950,92,5,2,22
"100",100,1,18,3,78250,27480,91,47,4,26
"101",101,1,16,3,60625,22500,91,44,3,30
"102",102,1,14,1,39900,15750,91,59,3,27
"103",103,1,19,3,97000,35010,91,68,4,31
"104",104,1,15,1,27450,15750,91,48,3,27
"105",105,1,15,1,31650,13500,91,18,3,24
"106",106,1,19,3,91250,29490,91,23,4,28
"107",107,2,12,1,25200,14400,91,83,2,30
"108",108,2,12,1,21000,11550,91,108,2,60
"109",109,1,12,1,30450,15000,91,49,2,26
"110",110,1,15,1,28350,18000,91,151,3,37
"111",111,1,12,2,30750,9000,91,314,2,49
"112",112,1,12,2,30750,15000,91,240,2,42
"113",113,1,16,3,54875,27480,90,68,3,30
"114",114,1,14,1,37800,16500,90,60,3,29
"115",115,1,15,1,33450,14100,90,85,3,29
"116",116,1,15,1,30300,16500,90,16,3,28
"117",117,2,12,1,31500,18750,90,205,2,58
"118",118,2,12,1,31650,14250,90,48,2,26
"119",119,2,12,1,25200,14100,90,55,2,27
"120",120,2,16,3,37800,15750,90,7,3,25
"121",121,2,15,1,18750,10500,90,54,3,54
"122",122,2,15,1,32550,13500,90,22,3,24
"123",123,2,12,1,33300,15000,90,3,2,41
"124",124,2,16,1,38550,16500,90,0,3,27
"125",125,1,12,1,27450,15000,90,173,2,34
"126",126,1,15,2,24300,15000,90,191,3,39
"127",127,1,12,2,30750,15000,90,209,2,39
"128",128,2,12,1,19650,9750,90,229,2,44
"129",129,1,17,3,68750,27510,89,38,4,31
"130",130,1,20,3,59375,30000,89,6,4,31
"131",131,1,15,1,31500,15750,89,22,3,28
"132",132,1,12,1,27300,17250,89,175,2,37
"133",133,1,15,1,27000,15750,89,87,3,30
"134",134,2,16,3,41550,24990,89,285,3,48
"135",135,2,12,1,26250,10950,89,0,2,22
"136",136,1,12,1,22200,15000,88,324,2,51
"137",137,1,21,3,65000,37500,88,264,4,53
"138",138,1,12,1,30900,15000,88,252,2,43
"139",139,2,8,1,20100,13200,88,90,1,59
"140",140,2,12,1,22350,13500,88,26,2,25
"141",141,2,15,1,35550,13350,88,32,3,24
"142",142,2,12,1,28500,13950,88,34,2,23
"143",143,2,12,1,24450,13200,88,107,2,51
"144",144,2,8,1,16650,9750,88,412,1,59
"145",145,1,12,1,26700,13500,88,38,2,26
"146",146,1,18,1,43950,23250,88,182,4,39
"147",147,1,15,1,23700,13500,88,359,3,53
"148",148,2,15,1,26550,14250,88,61,3,30
"149",149,1,12,1,27600,15000,87,75,2,28
"150",150,1,12,1,25800,15000,87,143,2,36
"151",151,1,16,3,42300,26250,87,126,3,36
"152",152,1,8,2,30750,15000,87,451,1,61
"153",153,2,12,1,26700,12900,87,18,2,23
"154",154,2,12,1,20850,12000,87,163,2,50
"155",155,1,15,1,35250,15000,87,54,3,27
"156",156,1,15,1,26700,15000,87,56,3,27
"157",157,2,12,1,26550,13050,87,11,2,23
"158",158,2,12,1,27750,12000,87,11,2,25
"159",159,2,16,1,25050,12750,87,123,3,39
"160",160,1,16,3,66000,47490,86,150,3,39
"161",161,1,16,1,52650,19500,86,20,3,27
"162",162,1,16,3,45625,23250,86,60,3,29
"163",163,1,15,1,30900,15000,86,25,3,24
"164",164,2,15,1,29400,16500,86,24,3,25
"165",165,2,15,1,33300,13500,86,24,3,24
"166",166,2,12,1,21900,9750,86,156,2,48
"167",167,2,12,1,18150,9750,86,72,2,58
"168",168,2,16,3,46875,17250,86,19,3,28
"169",169,1,12,1,25500,14400,86,37,2,25
"170",170,1,12,1,26550,15000,86,38,2,26
"171",171,1,12,1,26700,13500,86,367,2,60
"172",172,2,15,1,29850,15000,86,79,3,37
"173",173,1,20,3,69250,42480,85,134,4,40
"174",174,1,8,2,31950,15000,85,438,1,55
"175",175,1,8,1,26250,15600,85,171,1,52
"176",176,2,16,1,35700,17250,85,19,3,27
"177",177,2,12,1,28500,16500,85,69,2,28
"178",178,2,12,1,17100,10200,85,72,2,52
"179",179,1,12,1,25200,13050,85,29,2,25
"180",180,2,12,1,24000,12750,85,59,2,30
"181",181,2,12,1,27450,10200,85,101,2,51
"182",182,2,12,1,18450,10200,85,228,2,47
"183",183,1,15,1,39300,15750,84,72,3,30
"184",184,1,15,1,38850,15000,84,53,3,25
"185",185,1,8,2,30750,15000,84,380,1,60
"186",186,1,15,1,37500,20400,84,33,3,26
"187",187,1,16,3,58750,21750,84,13,3,27
"188",188,2,12,1,34500,18750,84,208,2,56
"189",189,2,12,1,36000,19980,84,240,2,40
"190",190,2,8,1,29100,16500,84,35,1,57
"191",191,2,12,1,16500,10200,84,288,2,58
"192",192,1,12,1,19650,12750,84,180,2,40
"193",193,2,12,1,24750,12000,84,41,2,24
"194",194,2,15,1,27150,15750,84,231,3,52
"195",195,2,12,1,26400,12750,84,36,2,34
"196",196,2,16,1,23100,12000,84,214,3,44
"197",197,1,15,3,54900,25500,83,49,3,27
"198",198,1,19,3,70875,43500,83,156,4,38
"199",199,1,16,3,51250,27480,83,69,3,32
"200",200,1,17,3,67500,34980,83,9,4,27
"201",201,1,12,1,29340,19500,83,150,2,35
"202",202,1,15,1,39600,16500,83,47,3,27
"203",203,1,12,1,29100,15000,83,50,2,26
"204",204,1,15,1,33150,16500,83,69,3,29
"205",205,1,16,3,66750,52500,83,258,3,46
"206",206,1,12,2,33750,15000,83,284,2,47
"207",207,1,15,1,27300,17250,83,91,3,31
"208",208,2,12,1,24000,11250,83,16,2,21
"209",209,2,8,1,19800,10200,83,75,1,56
"210",210,1,15,1,30600,16500,83,216,3,41
"211",211,1,15,1,28950,15000,83,108,3,39
"212",212,1,15,1,38400,16500,83,64,3,25
"213",213,1,8,2,30750,15000,83,302,1,44
"214",214,2,12,1,20400,10950,83,9,2,21
"215",215,2,12,1,19200,11100,83,7,2,21
"216",216,1,15,1,30150,15750,82,72,3,26
"217",217,1,16,1,34620,27750,82,149,3,41
"218",218,1,15,1,80000,15750,82,34,3,26
"219",219,1,12,1,25350,15000,82,32,2,27
"220",220,1,12,1,29850,15750,82,85,2,27
"221",221,2,12,1,24000,13800,82,97,2,43
"222",222,2,15,1,27750,19500,82,265,3,54
"223",223,2,8,1,22350,10200,82,48,1,48
"224",224,2,12,1,16200,10200,82,0,2,55
"225",225,2,15,1,21900,12750,82,0,3,22
"226",226,2,16,1,23250,15750,82,4,3,26
"227",227,2,12,1,33900,12000,82,11,2,25
"228",228,2,15,1,25650,14250,82,51,3,26
"229",229,2,12,1,17250,10200,82,358,2,50
"230",230,1,15,1,22500,15000,82,371,3,56
"231",231,1,16,3,40200,21000,81,3,3,25
"232",232,1,19,3,55500,33750,81,62,4,26
"233",233,1,15,1,26550,15000,81,52,3,27
"234",234,1,15,1,50550,19500,81,44,3,29
"235",235,1,19,3,75000,31500,81,13,4,27
"236",236,2,8,1,27450,12000,81,9,1,21
"237",237,2,12,1,22650,11250,81,0,2,21
"238",238,2,12,1,27300,11250,81,5,2,21
"239",239,2,12,1,27750,11225,81,5,2,20
"240",240,2,16,3,54375,18750,81,81,3,29
"241",241,2,8,1,17400,10200,81,390,1,54
"242",242,2,12,1,40800,18000,81,4,2,22
"243",243,2,12,1,23100,10950,81,0,2,21
"244",244,2,8,1,22500,10950,81,5,1,20
"245",245,2,12,1,26700,11550,81,18,2,21
"246",246,2,12,1,24900,11250,81,0,2,22
"247",247,2,12,1,19650,10950,81,11,2,22
"248",248,2,12,1,22050,10950,81,9,2,21
"249",249,2,12,1,25500,12000,81,11,2,21
"250",250,2,15,1,28200,12750,81,19,3,23
"251",251,2,12,1,23100,11250,81,13,2,21
"252",252,1,12,1,25500,11400,81,9,2,20
"253",253,2,8,1,17100,10200,81,0,1,48
"254",254,1,18,3,68125,32490,80,29,4,26
"255",255,1,12,2,30600,15750,80,460,2,58
"256",256,1,19,3,52125,27480,80,221,4,42
"257",257,1,19,3,61875,36750,80,199,4,38
"258",258,1,8,1,21300,11550,80,24,1,21
"259",259,2,12,1,19650,11250,80,5,2,21
"260",260,2,12,1,22350,11250,80,5,2,21
"261",261,2,12,1,23400,11250,80,18,2,21
"262",262,2,12,1,24300,10950,80,8,2,22
"263",263,2,12,1,28500,11250,80,4,2,21
"264",264,2,12,1,19950,11250,80,8,2,21
"265",265,2,12,1,23400,11250,80,0,2,20
"266",266,2,16,1,34500,17250,80,3,3,26
"267",267,2,12,1,18150,10950,80,0,2,21
"268",268,1,12,1,22350,15000,80,272,2,54
"269",269,1,15,1,40200,17250,79,38,3,24
"270",270,1,15,1,28650,18000,79,261,3,42
"271",271,1,15,1,27750,16500,79,55,3,27
"272",272,1,18,1,66875,31980,79,30,4,26
"273",273,1,12,2,30000,15750,79,308,2,50
"274",274,1,16,3,83750,21750,79,12,3,26
"275",275,1,12,1,33900,16500,79,94,2,27
"276",276,1,16,3,56500,21000,79,12,3,25
"277",277,2,16,3,43000,17490,79,20,3,25
"278",278,2,8,1,20850,12000,79,70,1,47
"279",279,2,12,1,24450,12000,79,8,2,21
"280",280,2,12,1,24750,10950,79,5,2,20
"281",281,1,8,2,34500,15750,79,246,1,45
"282",282,1,14,1,27900,15000,79,47,3,26
"283",283,1,19,3,68125,32010,78,35,4,27
"284",284,1,19,3,73500,33000,78,45,4,28
"285",285,1,8,2,30750,15750,78,429,1,60
"286",286,1,15,3,40050,25500,78,133,3,32
"287",287,1,16,1,40350,19500,78,20,3,25
"288",288,1,15,3,38700,23730,78,176,3,35
"289",289,1,17,3,65000,30750,78,26,4,25
"290",290,1,18,3,51450,36240,78,149,4,36
"291",291,1,12,2,35250,15750,78,387,2,55
"292",292,1,14,1,25950,15000,78,53,3,27
"293",293,1,15,1,25050,14250,78,24,3,24
"294",294,1,12,1,26700,12750,78,25,2,21
"295",295,1,8,1,24000,15750,78,476,1,58
"296",296,1,12,1,26850,15000,78,48,2,26
"297",297,2,12,1,23400,15300,78,209,2,48
"298",298,2,12,1,24600,13500,78,47,2,24
"299",299,2,15,1,32550,18000,78,6,3,25
"300",300,1,16,1,26550,15000,78,105,3,30
"301",301,1,12,1,31500,13500,78,7,2,22
"302",302,1,8,1,22350,15000,78,320,1,50
"303",303,1,12,2,35250,15750,78,281,2,52
"304",304,2,15,1,25800,13500,78,51,3,44
"305",305,1,12,2,30750,15750,77,317,2,48
"306",306,1,15,1,30750,16500,77,41,3,24
"307",307,1,16,3,50000,32490,77,264,3,45
"308",308,1,15,1,34500,18000,77,63,3,27
"309",309,1,15,1,26250,15750,77,38,3,26
"310",310,1,16,1,44875,21240,77,22,3,26
"311",311,2,12,1,22500,12000,77,63,2,39
"312",312,2,12,1,25650,14250,77,64,2,27
"313",313,2,12,1,21300,11250,77,0,2,20
"314",314,2,12,1,29850,13500,77,38,2,23
"315",315,2,12,1,34500,12150,77,4,2,20
"316",316,1,15,1,27750,15000,77,52,3,30
"317",317,1,12,1,27750,11550,77,12,2,21
"318",318,1,16,3,48750,21990,76,61,3,29
"319",319,1,15,1,43410,15750,76,12,3,24
"320",320,1,12,1,22050,15000,76,385,2,53
"321",321,2,12,1,22050,12000,76,6,2,36
"322",322,2,12,1,22500,14250,76,90,2,52
"323",323,2,15,1,25500,12000,76,7,3,23
"324",324,2,12,1,29160,15000,76,22,2,23
"325",325,2,8,1,16800,10200,76,76,1,55
"326",326,1,8,2,29550,15750,76,144,1,32
"327",327,1,12,1,26700,15750,76,18,2,25
"328",328,1,18,3,55000,32490,75,125,4,37
"329",329,1,18,3,62500,34980,75,74,4,32
"330",330,1,15,1,27300,17250,75,132,3,31
"331",331,2,12,1,24450,12000,75,144,2,48
"332",332,2,16,1,33000,18000,75,26,3,26
"333",333,2,15,1,37050,18000,75,5,3,25
"334",334,2,12,1,24450,10950,75,32,2,24
"335",335,1,8,2,31950,15750,74,408,1,60
"336",336,1,16,3,47250,21240,74,45,3,26
"337",337,2,12,1,26100,11550,74,2,2,20
"338",338,2,8,1,15900,10200,74,43,1,52
"339",339,2,8,1,23700,10650,74,281,1,47
"340",340,2,8,1,21750,12450,74,318,1,56
"341",341,1,12,3,59400,33750,74,272,2,45
"342",342,2,12,1,24450,14250,74,117,2,42
"343",343,1,16,3,103500,60000,73,150,3,37
"344",344,1,12,1,35700,16500,73,72,2,26
"345",345,2,12,1,22200,16500,73,7,2,21
"346",346,2,15,1,22950,13950,73,22,3,22
"347",347,2,12,1,23100,12000,73,228,2,46
"348",348,2,16,3,56750,30000,73,15,3,28
"349",349,2,17,1,29100,12750,73,375,4,52
"350",350,2,12,1,37650,15750,73,132,2,51
"351",351,2,12,1,27900,13500,73,32,2,24
"352",352,2,8,1,21150,12000,73,159,1,56
"353",353,1,12,2,31200,15750,73,155,2,35
"354",354,2,12,1,20550,11250,73,154,2,44
"355",355,1,15,1,25950,17250,72,83,3,29
"356",356,1,15,1,28350,15000,72,48,3,24
"357",357,2,8,1,17700,10200,72,184,1,58
"358",358,2,15,1,23550,13500,72,49,3,46
"359",359,2,12,1,19950,10200,72,56,2,49
"360",360,2,12,1,29400,15300,72,30,2,22
"361",361,2,12,1,28800,13950,72,18,2,24
"362",362,2,8,1,16950,10200,72,319,1,53
"363",363,1,16,1,35700,18000,72,138,3,36
"364",364,2,12,1,17400,10200,72,116,2,43
"365",365,2,8,1,21450,10200,72,194,1,41
"366",366,2,12,1,24750,12000,72,68,2,29
"367",367,2,12,1,16950,10200,72,271,2,48
"368",368,2,12,1,26100,13500,72,169,2,47
"369",369,1,14,1,28050,15000,71,15,3,22
"370",370,2,16,1,36600,18000,71,12,3,27
"371",371,2,16,3,58125,18000,71,11,3,24
"372",372,1,15,1,21300,15750,70,372,3,55
"373",373,1,12,1,22500,16500,70,216,2,40
"374",374,1,15,1,29400,15750,70,15,3,23
"375",375,1,12,1,27450,14700,70,41,2,23
"376",376,1,15,1,29850,15750,70,48,3,25
"377",377,1,15,1,25350,15750,70,56,3,24
"378",378,2,8,1,15750,10200,70,275,1,59
"379",379,2,8,1,19650,13050,70,102,1,52
"380",380,2,12,1,21000,13500,70,82,2,49
"381",381,1,17,1,27000,18000,70,192,4,44
"382",382,1,12,1,24000,15750,70,120,2,30
"383",383,1,17,3,78500,28740,70,67,4,29
"384",384,2,12,1,20850,13050,70,127,2,34
"385",385,1,12,2,30000,15750,69,348,2,59
"386",386,1,8,2,28500,15750,69,174,1,56
"387",387,1,19,3,65000,31980,69,74,4,25
"388",388,1,14,1,30150,16500,69,110,3,31
"389",389,1,19,3,66875,32490,69,81,4,31
"390",390,2,15,1,24150,13500,69,7,3,21
"391",391,2,12,1,24450,12450,69,12,2,21
"392",392,2,12,1,21600,12000,69,0,2,20
"393",393,2,12,1,27900,12450,69,0,2,21
"394",394,2,8,1,29100,12450,69,17,1,20
"395",395,2,12,1,22650,11250,69,2,2,20
"396",396,2,12,1,20850,11250,69,0,2,20
"397",397,2,12,1,22950,12300,69,5,2,20
"398",398,2,12,1,30600,12450,69,5,2,19
"399",399,2,12,1,20400,11250,69,0,2,20
"400",400,2,12,1,23850,12750,69,20,2,21
"401",401,2,12,1,22800,11250,69,0,2,20
"402",402,2,12,1,20700,11250,69,2,2,20
"403",403,2,12,1,21300,11250,69,3,2,20
"404",404,2,12,1,24300,15000,69,121,2,37
"405",405,2,12,1,19650,13950,69,133,2,46
"406",406,1,17,3,60000,32490,68,17,4,24
"407",407,1,15,1,30300,15750,68,55,3,24
"408",408,1,19,3,61250,33000,68,9,4,26
"409",409,1,19,1,36000,19500,68,21,4,27
"410",410,2,8,1,25200,18750,68,344,1,48
"411",411,2,12,1,16200,10200,68,180,2,59
"412",412,2,12,1,22800,11250,68,2,2,20
"413",413,2,16,3,43500,19500,68,11,3,24
"414",414,1,8,2,30300,15750,68,155,1,29
"415",415,1,15,1,31950,15750,68,70,3,27
"416",416,1,15,1,35250,13500,67,6,3,25
"417",417,1,15,1,37800,15000,67,36,3,23
"418",418,1,15,1,31200,15750,67,46,3,25
"419",419,1,15,1,29400,16500,67,68,3,25
"420",420,1,19,3,70000,35040,67,75,4,33
"421",421,1,15,1,33900,15750,67,96,3,28
"422",422,1,15,1,27150,16500,67,78,3,27
"423",423,2,12,1,22200,13800,67,196,2,54
"424",424,2,15,1,31350,11100,67,47,3,24
"425",425,2,12,1,20850,13500,67,181,2,48
"426",426,1,16,1,33300,17490,67,120,3,37
"427",427,1,8,1,26250,16050,67,97,1,48
"428",428,1,15,1,31950,15750,67,58,3,26
"429",429,1,8,2,30000,15750,67,305,1,44
"430",430,1,19,3,66250,34980,67,99,4,34
"431",431,1,18,3,86250,45000,66,50,4,31
"432",432,1,12,1,30750,15000,66,56,2,26
"433",433,1,12,1,33540,15750,66,47,2,23
"434",434,1,16,1,34950,20250,66,55,3,NA
"435",435,1,15,1,40350,16500,66,80,3,26
"436",436,1,12,1,30270,15750,66,80,2,25
"437",437,1,8,1,26250,16050,66,264,1,57
"438",438,1,15,1,32400,15000,66,64,3,25
"439",439,2,12,1,20400,11250,66,0,2,20
"440",440,2,8,1,24150,12750,66,96,1,42
"441",441,2,15,1,23850,13500,66,122,3,41
"442",442,2,12,1,29700,13500,66,26,2,21
"443",443,2,8,1,21600,13500,66,228,1,61
"444",444,2,12,1,24450,15750,66,87,2,28
"445",445,1,15,1,28050,16500,66,84,3,27
"446",446,1,16,3,100000,44100,66,128,3,32
"447",447,1,15,1,49000,20550,66,86,3,29
"448",448,2,12,1,16350,10200,66,163,2,57
"449",449,1,16,3,70000,21750,65,19,3,24
"450",450,1,19,3,55000,34980,65,129,4,36
"451",451,1,15,1,28500,14250,65,20,3,21
"452",452,1,12,1,28800,18000,65,210,2,37
"453",453,1,15,1,24450,15750,65,338,3,60
"454",454,1,19,3,90625,31250,65,18,4,25
"455",455,1,16,3,43650,19500,65,19,3,26
"456",456,1,19,3,75000,42510,65,54,4,30
"457",457,1,15,1,31650,14250,65,10,3,22
"458",458,1,19,3,61875,28740,65,26,4,25
"459",459,2,12,1,21750,11250,65,0,2,19
"460",460,2,12,1,22500,12750,65,24,2,21
"461",461,2,8,1,21600,13500,65,173,1,46
"462",462,2,16,3,34410,19500,65,79,3,26
"463",463,2,15,1,20700,14250,65,241,3,55
"464",464,1,19,3,47550,33000,64,27,4,28
"465",465,1,12,1,33900,16500,64,106,2,28
"466",466,2,12,1,23400,13500,64,198,2,42
"467",467,2,16,1,32850,19500,64,20,3,23
"468",468,2,16,3,55750,19980,64,36,3,24
"469",469,2,15,1,25200,13950,64,57,3,26
"470",470,1,12,1,26250,15750,64,69,2,26
"471",471,1,15,1,26400,15750,64,32,3,24
"472",472,1,15,1,39150,15750,63,46,3,24
"473",473,2,12,1,21450,12750,63,139,2,52
"474",474,2,12,1,29400,14250,63,9,2,21
